VOLUME         ENERGIA           ENERGIA DE FORMAÇÃO

80.2869       -198.974583        0.49550991000000977
81.0897       -198.974049        0.49604390999999737
81.8926       -198.973604        0.4964889100000107
82.6955       -198.973083        0.4970099100000027
83.4984       -198.972474        0.4976189099999999
84.3012       -198.971951        0.4981419100000153
85.1041       -198.971355        0.4987379100000169
85.907       -198.970772        0.49932090999999446
86.7098       -198.97018        0.49991291000000615
87.5127       -198.969592        0.5005009099999995
88.3156       -198.968984        0.5011089099999992
89.1184       -198.968506        0.5015869100000145
89.9213       -198.968054        0.5020389100000102
90.7241       -198.967478        0.5026149100000055
91.527       -198.966832        0.5032609099999945
92.3299       -198.966238        0.5038549100000012
93.1328       -198.965699        0.5043939100000046
93.9356       -198.965065        0.5050279099999955
94.7385       -198.964486        0.5056069100000116
95.5414       -198.963825        0.5062679099999912
96.3443       -198.963209        0.5068839099999991
44.1578       -198.936646        0.5334469100000092
44.9606       -198.941364        0.5287289100000123
45.7635       -198.945678        0.5244149100000186
46.5664       -198.949531        0.5205619099999979
47.3692       -198.953153        0.5169399100000192
48.1721       -198.956417        0.5136759100000177
48.975       -198.959463        0.5106299100000058
49.7779       -198.962458        0.5076349100000073
50.5808       -198.964315        0.5057779100000062
51.3836       -198.966505        0.5035879099999931
52.1865       -198.968582        0.5015109100000075
52.9893       -198.970507        0.4995859100000075
53.7922       -198.971735        0.49835791000000995
54.5951       -198.97319        0.4969029100000171
55.3979       -198.974515        0.4955779100000086
56.2008       -198.97548        0.49461291000000074
57.0037       -198.976404        0.49368891000000303
57.8065       -198.977262        0.4928309100000092
58.6094       -198.978007        0.49208591000001434
59.4123       -198.978601        0.4914919100000077
60.2152       -198.97913        0.49096291000000747
61.018       -198.979595        0.4904979100000162
61.8209       -198.979894        0.4901989100000037
62.6237       -198.980154        0.48993891000000644
63.4266       -198.980344        0.489748910000003
64.2295       -198.980509        0.48958390999999324
65.0324       -198.980536        0.48955691000000456
65.8352       -198.980507        0.4895859100000166
66.6381       -198.980448        0.48964491000000976
67.441       -198.980354        0.4897389099999998
68.2438       -198.980201        0.4898919100000114
69.0467       -198.98003        0.490062910000006
69.8496       -198.979808        0.49028491000001395
70.6524       -198.979514        0.49057891000001064
71.4553       -198.97928        0.4908129100000167
72.2582       -198.97894        0.49115291000001093
73.061       -198.978564        0.49152890999999954
73.864       -198.978248        0.4918449099999975
74.6668       -198.977812        0.4922809100000052
75.4697       -198.97739        0.49270290999999133
76.2725       -198.976945        0.4931479100000047
77.0754       -198.976466        0.49362691000001746
77.8783       -198.975949        0.49414390999999114
78.6812       -198.975581        0.49451190999999994
79.484       -198.974948        0.4951449099999934
40.9463       -198.912828        0.5572649100000149
41.7492       -198.919642        0.550450909999995
42.5521       -198.925872        0.544220910000007
43.3549       -198.931478        0.5386149100000068
