VOLUME         ENERGIA           ENERGIA DE Coesão

377.6       -5200.453626        -1.052400000000489
207.6799       -5200.304087        -0.9028610000004846
211.456       -5200.326158        -0.9249319999998988
215.232       -5200.345227        -0.9440009999998438
219.008       -5200.362303        -0.961076999999932
222.784       -5200.378443        -0.977216999999655
226.56       -5200.39454        -0.9933140000002822
230.336       -5200.409795        -1.0085689999996248
234.112       -5200.4225        -1.0212739999997211
237.888       -5200.434506        -1.0332799999996496
241.664       -5200.444768        -1.0435420000003433
245.4401       -5200.454259        -1.0530330000001413
249.216       -5200.462244        -1.061018000000331
252.992       -5200.469688        -1.0684620000001814
256.7681       -5200.47671        -1.0754839999999604
260.544       -5200.481211        -1.0799850000003062
264.32       -5200.487351        -1.0861249999998108
268.0959       -5200.491224        -1.089998000000378
271.872       -5200.495026        -1.0937999999996464
275.648       -5200.497695        -1.09646900000007
279.4239       -5200.499862        -1.0986359999997148
283.2       -5200.502073        -1.1008469999997033
286.976       -5200.503103        -1.1018770000000586
290.752       -5200.503724        -1.102498000000196
294.528       -5200.504209        -1.1029829999997673
298.304       -5200.503788        -1.1025620000000345
302.08       -5200.503589        -1.1023629999999685
305.856       -5200.502531        -1.1013050000001385
309.632       -5200.50117        -1.0999439999995957
313.4081       -5200.500167        -1.0989410000001953
317.1841       -5200.498212        -1.09698600000047
320.96       -5200.496391        -1.0951649999997244
324.736       -5200.495042        -1.093815999999606
328.5121       -5200.492551        -1.0913250000003245
332.288       -5200.490816        -1.0895900000004985
336.064       -5200.488206        -1.0869800000000396
339.8401       -5200.486311        -1.085084999999708
343.6161       -5200.483018        -1.0817919999999503
347.3921       -5200.480271        -1.0790450000004057
351.168       -5200.476997        -1.0757709999998042
354.9441       -5200.474233        -1.0730069999999614
358.72       -5200.470736        -1.069510000000264
362.496       -5200.467298        -1.0660719999996218
366.272       -5200.463632        -1.06240600000001
370.048       -5200.460874        -1.0596480000003794
373.824       -5200.457019        -1.055793000000449
192.576       -5200.190571        -0.7893450000001394
196.352       -5200.224227        -0.8230009999997492
200.128       -5200.253484        -0.8522579999998925
203.904       -5200.280329        -0.8791030000002138
